	index	Date	Longitude	Latitude	Location	Crime type	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
1406	2710	2016-11	-5.940995	54.580206000000004	On or near Malone Avenue	Anti-social behaviour	25	Malone Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 6RY
1407	7	2014-10	-5.917032	54.59693000000001	On or near Mays Meadow	Anti-social behaviour	8	Laganbank Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 3BN
1408	1430	2016-02	-6.355765	54.184644999999996	On or near Second Avenue	Anti-social behaviour	32	Second Ave	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35
1409	252	2015-09	-6.742881	54.635468	On or near 	Anti-social behaviour	2	Killymoon Rd	Cookstown	Cookstown	Northern Ireland	United Kingdom	BT80 8LA
1410	3490	2016-07	-5.548114	54.381011	On or near Cuan Place	Anti-social behaviour	3	Cuan Pl	Portaferry	Ards	Northern Ireland	United Kingdom	BT22 1NY
1411	3999	2015-04	-5.535598	54.631788	On or near Kinnegar Rocks	Anti-social behaviour	3	Kinnegar Rocks	Donaghadee	Ards	Northern Ireland	United Kingdom	BT21 0RB
1412	1755	2016-09	-6.511693	54.439201000000004	On or near Timakeel Grange	Anti-social behaviour	9-15	Timakeel Grange		Craigavon	Northern Ireland	United Kingdom	BT62
1413	2420	2015-08	-6.347379	54.184063	On or near Killeavey Road	Anti-social behaviour	62	Killeavey Rd	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35 6ET
1414	5129	2015-06	-7.626352000000001	54.342453000000006	On or near Wickham Place	Anti-social behaviour	1-3	B80	Enniskillen	Fermanagh	Northern Ireland	United Kingdom	BT74 6HX
1415	3835	2017-01	-6.056353	54.51168199999999	On or near Craigmore Road	Anti-social behaviour	16	Tonagh Ave	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 1DW
1416	4846	2017-03	-7.26898	54.601555000000005	On or near Mullaghmore Cottages	Anti-social behaviour	5	Mullaghmore Cottages		Omagh	Northern Ireland	United Kingdom	BT79 0QD
1417	3974	2015-01	-5.962095	54.687304000000005	On or near Ballycraigy Park	Anti-social behaviour	10-12	Ballycraigy Park	Glengormley	Newtownabbey	Northern Ireland	United Kingdom	BT36 5XF
1418	2019	2016-06	-5.961976	54.620041	On or near Alliance Parade	Anti-social behaviour	17	Alliance Parade	Belfast	Belfast	Northern Ireland	United Kingdom	BT14 7JD
1419	843	2014-11	-5.936415	54.691514	On or near Woodford Road	Anti-social behaviour	16-18	Woodford Rd		Newtownabbey	Northern Ireland	United Kingdom	BT36
1420	3561	2017-04	-6.761538000000001	54.434151	On or near Stiloga Road	Anti-social behaviour	40	Stiloga Rd		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT71 7PR
1421	1669	2016-05	-5.860987000000001	54.564395999999995	On or near 	Anti-social behaviour	35	Ryan Park		Castlereagh	Northern Ireland	United Kingdom	BT5 7TY
1422	4466	2015-07	-5.659353	54.63854	On or near Rathgill Drive	Anti-social behaviour	19	Rathgill Park	Bangor	North Down	Northern Ireland	United Kingdom	BT19 7TG
1423	949	2017-03	-5.990409	54.560237	On or near Ormonde Park	Anti-social behaviour	11	Upton Park	Belfast	Belfast	Northern Ireland	United Kingdom	BT10 0LZ
1424	835	2014-12	-5.676044999999999	54.655232999999996	On or near Church Lane	Anti-social behaviour	8	Abbey St	Bangor	North Down	Northern Ireland	United Kingdom	BT20 3RW
1425	4930	2016-05	-7.608761	54.352368999999996	On or near Ashdale	Anti-social behaviour	20	Ashdale	Chanterhill	Fermanagh	Northern Ireland	United Kingdom	BT74 4BH
1426	2141	2016-06	-5.889179	54.212934	On or near Main Street	Anti-social behaviour	57	A2	Newcastle	County Down	Northern Ireland	United Kingdom	BT33 0AD
1427	297	2015-02	-6.343871	54.482325	On or near 	Anti-social behaviour	12	Tannaghmore N Rd	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT67 9JA
1428	3877	2015-10	-6.945786	54.596116	On or near Cavanakeeran Road	Anti-social behaviour		B4		Cookstown	Northern Ireland	United Kingdom	BT70 2RR
1429	1918	2016-06	-7.631916	54.344483	On or near 	Anti-social behaviour	4	Forthill Rd	Enniskillen	Fermanagh	Northern Ireland	United Kingdom	BT74 6AW
